suburb,total_persons,australian_citizens,non_citizens,university_count,student_share,non_citizen_share,intl_student_proxy,median_weekly_rent
Caulfield,5748,4800,948,418,0.07272094641614475,0.1649269311064718,0.011993642519572934,475
Frankston,18801,16956,1845,691,0.03675336418275624,0.09813307802776448,0.0036067207551292624,356
Doncaster,24814,18111,6703,1689,0.0680664141210607,0.27012976545498507,0.01838676448188401,450
Werribee,50027,38806,11221,1818,0.0363403761968537,0.224298878605553,0.008151105629058216,330
Clayton,18988,8565,10423,4841,0.25495049504950495,0.5489256372445755,0.1399488629608695,400
Parkville,7297,5385,1912,2660,0.3645333698780321,0.2620254899273674,0.09551703483716559,396
Carlton,16055,8821,7234,4885,0.3042665836188103,0.45057614450327,0.13709526414814535,365
Williamstown,14407,13043,1364,850,0.058999097660859305,0.09467619906989658,0.005585810315083785,450
