sa2_code_2021,median_weekly_rent,avg_hh_size,uni_share,overseas_share,intl_student_proxy,log_rent,log_proxy,log_uni,log_os,proxy_sq,D_inner,D_middle,D_high_os,proxy_x_highos
201011001,370,2.8,0.14125087842586087,0.1875853875853876,0.026496600776291575,5.91350300563827,-3.6307388268103638,-1.9572176900307765,-1.6735211367795875,13.182264428508297,0,0,0,-0.0
201011002,313,2.2,0.20395653385344106,0.1813535570027203,0.03698824288826728,5.746203190540153,-3.297155176610808,-1.5898483771862957,-1.7073067994245121,10.871232258651448,0,0,0,-0.0
201011005,330,2.7,0.1697019867549669,0.14268007161547996,0.02421309162348791,5.799092654460526,-3.7208618159171705,-1.773711399356352,-1.9471504165608184,13.844812653150424,0,0,0,-0.0
201011006,360,2.6,0.13867248363976317,0.15195572647969233,0.021072077994223462,5.886104031450156,-3.859806432667662,-1.9756403589436167,-1.8841660737240453,14.898105697662663,0,0,0,-0.0
201011007,350,3.0,0.08716323296354993,0.10023640661938535,0.008736929261594603,5.857933154483459,-4.740196494117108,-2.439972677308742,-2.3002238168083657,22.469462802840123,0,0,0,-0.0
201011008,260,2.3,0.08972340903980211,0.15215548164090523,0.01365190851691504,5.560681631015528,-4.293875949035792,-2.411023573620833,-1.8828523754149593,18.437370665708023,0,0,0,-0.0
201011481,288,2.1,0.16219369894982497,0.1550923537302652,0.025155002530346398,5.662960480135946,-3.6826984944486636,-1.818963985467088,-1.8637345089815756,13.562268201014454,0,0,0,-0.0
201011482,300,2.4,0.14265060240963856,0.12922033898305085,0.018433359199509905,5.703782474656201,-3.993593255894557,-1.9473569783407383,-2.0462362775538185,15.948787093526487,0,0,0,-0.0
201011483,295,2.3,0.16844919786096257,0.18200408997955012,0.030658442964469672,5.68697535633982,-3.4848471907657315,-1.7811210710229992,-1.703726119742732,12.14415994298781,0,0,0,-0.0
201011484,260,2.1,0.12145196506550218,0.1759896072138163,0.021374283627223867,5.560681631015528,-3.8455667792367794,-2.1082364436277805,-1.7373303356089989,14.788383853569536,0,0,0,-0.0
201021009,330,2.5,0.09192944949225014,0.19911571885958226,0.018304598420015045,5.799092654460526,-4.0006029709179955,-2.3867338494606365,-1.613869121457359,16.004824130917893,0,0,0,-0.0
201021010,250,2.3,0.07580720636406177,0.18045763760049474,0.013679989373551778,5.521460917862246,-4.291821143575185,-2.5795619200867637,-1.7122592234884215,18.41972872843901,0,0,0,-0.0
201021011,330,2.1,0.09289176090468497,0.24630838774485184,0.022880019863213214,5.799092654460526,-3.7774912443234863,-2.3763203248812914,-1.4011709194421946,14.269440100940601,0,0,0,-0.0
201021012,270,2.7,0.08627038400841662,0.18392969240426868,0.01586768519426621,5.598421958998375,-4.143470615557212,-2.450268914664231,-1.6932017008929812,17.168348741986062,0,0,0,-0.0
201031013,200,2.2,0.05843439911797133,0.19648924122310304,0.011481730744018148,5.298317366548036,-4.466998137780061,-2.8398505365630147,-1.6271476012170463,19.954072362930535,0,0,0,-0.0
201031014,218,2.2,0.050700466977985324,0.18992248062015504,0.009629158457059228,5.384495062789089,-4.642959444627257,-2.9818201578162666,-1.6611392868109909,21.557072404453447,0,0,0,-0.0
201031015,250,2.6,0.07358093903293624,0.17368205966489578,0.01277968904331749,5.521460917862246,-4.359898161837568,-2.609369267319313,-1.7505288945182549,19.0087119815946,0,0,0,-0.0
201031016,240,2.1,0.0577319587628866,0.15637254901960784,0.009027693551647464,5.480638923341991,-4.707458364815697,-2.851944380762279,-1.8555139840534176,22.160164256473273,0,0,0,-0.0
201031017,200,2.2,0.04628330995792426,0.20865001809627218,0.009657013460276271,5.298317366548036,-4.640070844162119,-3.0729738589478157,-1.5670969852143029,21.530257438843357,0,0,0,-0.0
202011018,280,2.1,0.1335110249575963,0.18608078236988412,0.02484383597911465,5.634789603169249,-3.6951456063389685,-2.013571220599667,-1.681574385739301,13.654101052046183,0,0,0,-0.0
202011019,280,2.4,0.07626416137054436,0.14835122403274384,0.011313881689150955,5.634789603169249,-4.481724839146875,-2.5735521578465925,-1.9081726813002835,20.085857533826086,0,0,0,-0.0
202011020,295,2.2,0.15773968934118907,0.1647841006577066,0.02599299284611387,5.68697535633982,-3.6499282832025988,-1.8468091404500813,-1.8031191427525175,13.32197647252227,0,0,0,-0.0
202011021,290,2.3,0.218436873747495,0.14284200487443044,0.031201960984595024,5.66988092298052,-3.4672743340714556,-1.521258213522375,-1.9460161205490807,12.021991307710655,0,0,0,-0.0
202011022,290,2.2,0.087248322147651,0.16295205056313264,0.014217293002152511,5.66988092298052,-4.253296238259625,-2.4389969484839225,-1.814299289775703,18.09052889039348,0,0,0,-0.0
202011023,380,3.1,0.08579545454545455,0.08408843783979703,0.007214405746482586,5.940171252720432,-4.931675453768249,-2.455789251217273,-2.475886202550976,24.321422781300264,0,0,0,-0.0
202011024,400,2.9,0.10099857346647646,0.11773486332680287,0.011891053243277666,5.991464547107982,-4.431968989925277,-2.292648886334916,-2.139320103590361,19.642349127659283,0,0,0,-0.0
202011025,330,2.7,0.08400718778077268,0.14640730998200194,0.012299266382135831,5.799092654460526,-4.398215662111317,-2.4768529149809035,-1.9213627471304138,19.344301010441292,0,0,0,-0.0
202021026,320,2.9,0.08399366085578447,0.12416107382550336,0.010428743126389348,5.768320995793772,-4.563189522850271,-2.477013948989091,-2.08617557386118,20.822698621450485,0,0,0,-0.0
202021027,310,2.1,0.08921399885255307,0.20022903453136012,0.017863232856928573,5.736572297479192,-4.025010708888067,-2.416717313900732,-1.6082933949873353,16.200711206663623,0,0,0,-0.0
202021028,280,2.2,0.0910267471958585,0.1886178861788618,0.017169272641820468,5.634789603169249,-4.064633967123783,-2.3966018904236304,-1.668032076700153,16.521249286696428,0,0,0,-0.0
202021029,260,2.2,0.049429657794676805,0.22718293164757014,0.011229574568130844,5.560681631015528,-4.489204394464001,-3.007204674716228,-1.4819997197477737,20.1529560952749,0,0,0,-0.0
202021030,351,2.4,0.09805924412665985,0.21122893391403144,0.02071294959729011,5.860786223465865,-3.87699618989702,-2.322183451062674,-1.554812738834346,15.03109945647601,0,0,0,-0.0
202021031,392,2.6,0.10834371108343711,0.20870549754686124,0.022611928127742126,5.971261839790462,-3.789277718674846,-2.222446595292178,-1.5668311233826682,14.358625629245646,0,0,0,-0.0
202031032,230,2.5,0.06589673913043478,0.16234292663153627,0.010697869485909658,5.438079308923196,-4.537710670806382,-2.719666320785439,-1.818044350020943,20.5908181319501,0,0,0,-0.0
202031033,170,2.2,0.04541015625,0.2053779667992866,0.009326245562662917,5.135798437050262,-4.674922749968727,-3.0920194930061426,-1.5829032569625845,21.85490271817516,0,0,0,-0.0
203011034,386,3.0,0.07589461266220998,0.13154500902759866,0.009983557507796515,5.955837369464831,-4.606815788469792,-2.578409576517234,-2.0284062119525577,21.22275170889455,0,0,0,-0.0
203011035,308,2.9,0.0742393509127789,0.16113919368758475,0.011962869145974851,5.730099782973574,-4.425947664081493,-2.6004609336353695,-1.8254867304461229,19.58901272518842,0,0,0,-0.0
203011036,300,2.6,0.0889348500517063,0.15436951920169337,0.013728830042756596,5.703782474656201,-4.28825727457686,-2.419851199199787,-1.8684060753770726,18.389150452961356,0,0,0,-0.0
203021037,350,2.3,0.20722610722610724,0.21042818139441966,0.04360621288103475,5.857933154483459,-3.132555641507481,-1.573944776408158,-1.558610865099323,9.812904847140345,0,0,0,-0.0
203021039,340,2.1,0.2841057868551977,0.2346712085308057,0.06667144835190474,5.8289456176102075,-2.707978478395774,-1.2584086212509562,-1.4495698571448177,7.333147439454691,0,0,0,-0.0
203021040,335,2.3,0.18902027027027027,0.19099056603773584,0.03610108841152473,5.814130531825066,-3.321432264194069,-1.6659010195661261,-1.6555312446279427,11.031912285629339,0,0,0,-0.0
203021042,365,2.7,0.27174579806158755,0.2188150120662395,0.05946206008179616,5.8998973535824915,-2.8224168154971223,-1.3028882156152213,-1.5195285998819008,7.966036680400917,0,0,0,-0.0
203021043,370,2.7,0.09157724533294134,0.20781092376423116,0.019030751948422166,5.91350300563827,-3.9616990846122624,-2.390572451557608,-1.5711266330546545,15.695059637017637,0,0,0,-0.0
203021044,375,2.5,0.11108056090184218,0.1675708257986739,0.018613861320501583,5.926926025970411,-3.9838487435256464,-2.197499567025839,-1.7863491764998074,15.871050811290871,0,0,0,-0.0
203021045,300,2.2,0.09979838709677419,0.21193894709610658,0.02115116508317999,5.703782474656201,-3.8560602883318884,-2.304603257150283,-1.5514570311816054,14.869200947250206,0,0,0,-0.0
203021046,360,2.5,0.17408536585365852,0.1777884155098133,0.03095036135856811,5.886104031450156,-3.4753706043601396,-1.7482094917221793,-1.7271611126379605,12.078200837650561,0,0,0,-0.0
203021047,340,2.3,0.13136209403780902,0.32681228236783794,0.042930745769114924,5.8289456176102075,-3.1481670251491773,-2.029797692191551,-1.1183693329576263,9.91095561823662,0,0,1,-3.1481670251491773
203021485,420,2.6,0.20107418596844578,0.21970873786407766,0.044177755616174055,6.040254711277414,-3.1195338831820227,-1.604081354597833,-1.5154525285841898,9.73149164832071,0,0,0,-0.0
203021486,280,2.6,0.08103975535168195,0.3298226466575716,0.026728746594573843,5.634789603169249,-3.622015641267299,-2.512815437905077,-1.1092002033622221,13.118997305584964,0,0,1,-3.622015641267299
203021487,390,2.6,0.2026990185387132,0.21556354238177927,0.043694518473514965,5.966146739123692,-3.1305326201369423,-1.5960330674761458,-1.5344995526607967,9.80023448574147,0,0,0,-0.0
203021488,254,2.1,0.07048940832724616,0.3689095127610209,0.02600421328081703,5.537334267018537,-3.649496704827025,-2.6522928169435085,-0.9972038878835162,13.318826198543313,0,0,1,-3.649496704827025
203031048,380,2.4,0.11310216430067489,0.18699767815681373,0.021149842118736672,5.940171252720432,-3.856122838352858,-2.1794637598745012,-1.6766590784783564,14.8696833444665,0,0,0,-0.0
203031049,390,2.2,0.13994743758212877,0.19136990696182227,0.02678172810963741,5.966146739123692,-3.6200354109415724,-1.966488372712206,-1.6535470382293662,13.104656376470919,0,0,0,-0.0
203031051,340,2.1,0.08187134502923976,0.24150587248322147,0.019772410612661405,5.8289456176102075,-3.923467716371847,-2.5026062268874014,-1.4208614894844458,15.393598921412117,0,0,0,-0.0
203031052,400,2.1,0.125,0.18155462946185905,0.02269432868273238,5.991464547107982,-3.785640223474527,-2.0794415416798357,-1.706198681794691,14.331071901588269,0,0,0,-0.0
203031053,500,2.7,0.13034491667743187,0.1695858901938473,0.022104658726985135,6.214608098422191,-3.8119668905480517,-2.0375711368511045,-1.7743957536969475,14.531091574634582,0,0,0,-0.0
203031489,420,2.7,0.1424449108079748,0.19174093355686933,0.027312520178746077,6.040254711277414,-3.600410067316676,-1.9487999448401574,-1.6516101224765187,12.96295265283527,0,0,0,-0.0
203031490,420,2.5,0.11458895484799424,0.16190574404454985,0.018552609993951835,6.040254711277414,-3.9871447993434987,-2.166403859381306,-1.8207409399621926,15.89732365093191,0,0,0,-0.0
204011054,250,2.1,0.07269279393173199,0.19537199765670768,0.014202136365689877,5.521460917862246,-4.2543628774031115,-2.621513019964349,-1.6328498574387622,18.099603492625683,0,0,0,-0.0
204011055,250,2.1,0.05459610027855153,0.19575267263796592,0.010687332545136858,5.521460917862246,-4.5386961131332955,-2.9077928222518072,-1.6309032908814882,20.599762407371284,0,0,0,-0.0
204011056,330,2.5,0.08966732760519938,0.17297436226948532,0.01551014880891838,5.799092654460526,-4.166260707454263,-2.411648817013871,-1.7546118904403916,17.357728282477293,0,0,0,-0.0
204011057,320,2.3,0.04926590538336052,0.20414566891699154,0.010057421209287348,5.768320995793772,-4.599444488196635,-3.0105230115553874,-1.5889214766412474,21.154889600002406,0,0,0,-0.0
204011058,285,2.2,0.05509641873278237,0.19594445668944235,0.010795837834129055,5.652489180268651,-4.52859460486092,-2.8986705607108596,-1.6299240441500593,20.50816909517543,0,0,0,-0.0
204011059,250,2.2,0.06232914160743576,0.2056629623991475,0.0128187959067812,5.521460917862246,-4.356842754928644,-2.7753261999963703,-1.581516554932274,18.98207879117422,0,0,0,-0.0
204011060,265,2.7,0.10091047040971168,0.18342303552206674,0.01850930479850901,5.579729825986222,-3.989481711259322,-2.293521586840699,-1.695960124418623,15.91596432447261,0,0,0,-0.0
204011062,300,2.2,0.050434782608695654,0.2415112386417982,0.01218056681845591,5.703782474656201,-4.40791348096415,-2.9870742108108765,-1.4208392701532737,19.429701255665492,0,0,0,-0.0
204021063,250,2.1,0.05590994371482176,0.18628719275549807,0.010415306461752049,5.521460917862246,-4.564478779665907,-2.884013030654486,-1.6804657490114212,20.834466530020368,0,0,0,-0.0
204021064,220,2.4,0.03946002076843198,0.1708542713567839,0.006741913096114007,5.393627546352362,-4.999411552180071,-3.2324672520717397,-1.7669443001083311,24.994115868071546,0,0,0,-0.0
204021065,243,2.3,0.06622516556291391,0.11860637509266123,0.00785472682732856,5.493061443340548,-4.8466397847948075,-2.7146947438208784,-2.131945040973929,23.48991720355586,0,0,0,-0.0
204021066,260,2.2,0.07630597014925374,0.15712704959259632,0.011989731955852966,5.560681631015528,-4.42370466583456,-2.5730040980220457,-1.850700567812514,19.569162970526456,0,0,0,-0.0
204021067,250,2.5,0.05858208955223881,0.14760705289672543,0.00864712959133802,5.521460917862246,-4.750527852260817,-2.8373262681565943,-1.9132015841042236,22.567514875105775,0,0,0,-0.0
204031068,300,2.3,0.07296137339055794,0.1712795828319294,0.012496793597179399,5.703782474656201,-4.382283179804418,-2.6178251095094844,-1.7644580702949333,19.20440586799672,0,0,0,-0.0
204031069,298,2.3,0.08730476571886263,0.23374143547118947,0.020406741262602845,5.697093486505405,-3.891889978670721,-2.4383502274906843,-1.4535397511800368,15.146807606077584,0,0,0,-0.0
204031070,260,2.4,0.06526806526806526,0.15954773869346733,0.010413372222417448,5.560681631015528,-4.564664508138605,-2.729252408752813,-1.8354120993857919,20.836162071860247,0,0,0,-0.0
204031071,250,2.3,0.08530405405405406,0.20273972602739726,0.017294520547945207,5.521460917862246,-4.057365558981013,-2.4615332986026917,-1.5958322603783217,16.46221527920531,0,0,0,-0.0
204031072,210,2.2,0.05263157894736842,0.17817947062621045,0.009377866875063708,5.3471075307174685,-4.669402953866159,-2.9444389791664407,-1.7249639746997187,21.803323945574014,0,0,0,-0.0
204031073,290,2.4,0.07542632269348491,0.15029877890361132,0.01133648419802053,5.66988092298052,-4.479729064201382,-2.584598957551367,-1.895130106650015,20.06797248865059,0,0,0,-0.0
204031075,280,2.6,0.0754017305315204,0.14307603907297453,0.01078818094369771,5.634789603169249,-4.529304101162915,-2.5849250528851804,-1.944379048277735,20.5145956408112,0,0,0,-0.0
204031491,385,2.9,0.08713010803193988,0.14501486930662075,0.012635161228923508,5.953243334287785,-4.371271777722918,-2.4403527828459897,-1.9309189948769288,19.10801695471688,0,0,0,-0.0
204031492,260,2.2,0.07596425211665099,0.1931441453388145,0.014672050551372785,5.560681631015528,-4.2218109180423395,-2.577492416239182,-1.6443185018031576,17.8236874277015,0,0,0,-0.0
205011076,330,2.5,0.08134567461730154,0.1801952156981743,0.014658101383778151,5.799092654460526,-4.222762100884978,-2.5090476167699842,-1.7137144841149934,17.831719760670513,0,0,0,-0.0
205011077,250,2.5,0.07196969696969698,0.1798025816249051,0.012940337313913626,5.521460917862246,-4.347405922713306,-2.6315101239798757,-1.7158957987334305,18.89993825684273,0,0,0,-0.0
205011078,300,2.4,0.08618504435994931,0.16933556405353728,0.014594193099671148,5.703782474656201,-4.227131562283791,-2.4512586156697673,-1.7758729466140237,17.868641244855805,0,0,0,-0.0
